14  04  47	 580.3	 508.8	 263.5	 028.8
14  04  57	 580.0	 507.9	 262.9	 028.9
14  05  07	 579.6	 507.2	 262.3	 028.8
14  05  17	 579.3	 506.3	 261.7	 028.8
14  05  27	 579.1	 505.6	 261.3	 028.8
14  05  37	 578.8	 504.8	 260.7	 029.0
14  05  47	 578.5	 503.9	 260.2	 028.9
14  05  57	 578.1	 503.1	 259.7	 029.0
14  06  07	 577.8	 502.2	 259.1	 029.1
14  06  17	 577.4	 501.4	 258.6	 029.2
14  06  27	 577.1	 500.5	 258.0	 029.1
14  06  37	 576.8	 499.7	 257.4	 029.1
14  06  47	 576.4	 498.8	 256.8	 029.3
14  06  57	 576.1	 498.1	 256.2	 029.2
14  07  07	 575.8	 497.2	 255.8	 029.3
14  07  17	 575.4	 496.4	 255.2	 029.3
14  07  27	 575.1	 495.7	 254.7	 029.3
14  07  37	 574.7	 494.8	 254.1	 029.2
14  07  47	 574.3	 494.0	 253.6	 029.2
14  07  57	 573.9	 493.1	 253.1	 029.2
14  08  07	 573.5	 492.3	 252.5	 029.2
14  08  17	 573.1	 491.4	 251.9	 029.1
14  08  27	 572.7	 490.6	 251.4	 029.1
14  08  37	 572.3	 489.8	 250.9	 029.0
14  08  47	 571.9	 489.0	 250.4	 029.2
14  08  57	 571.5	 488.1	 249.8	 029.3
14  09  07	 571.2	 487.4	 249.5	 029.3
14  09  17	 570.7	 486.6	 248.8	 029.6
14  09  27	 570.3	 485.8	 248.3	 029.9
14  09  37	 569.9	 484.9	 247.8	 029.9
14  09  47	 569.5	 484.2	 247.3	 030.0
14  09  57	 569.0	 483.3	 246.9	 030.0
14  10  07	 568.6	 482.5	 246.3	 030.1
14  10  17	 568.1	 481.7	 245.9	 029.9
14  10  27	 567.7	 480.9	 245.4	 029.9
14  10  37	 567.2	 480.2	 245.1	 030.0
14  10  47	 566.7	 479.3	 244.7	 030.0
14  10  57	 566.3	 478.6	 244.3	 030.4
14  11  07	 565.8	 477.7	 243.9	 030.4
