#Time	T1	T2	T3
11 52 48	477.7	533.5	259.2
11 52 49	477.6	533.4	259.2
11 52 50	477.5	533.3	259.1
11 52 51	477.4	533.2	259.1
11 52 52	477.3	533.1	259.1
11 52 53	477.2	533.1	259.1
11 52 54	477.1	533	259
11 52 55	477.1	532.9	259
11 52 56	477	532.8	258.9
11 52 57	476.9	532.7	258.9
11 52 58	476.8	532.6	258.9
11 52 59	476.7	532.5	258.9
11 53 00	476.7	532.4	258.9
11 53 01	476.6	532.4	258.8
11 53 02	476.5	532.3	258.8
11 53 03	476.5	532.2	258.8
11 53 04	476.4	532.1	258.7
11 53 05	476.3	532	258.7
11 53 06	476.2	531.9	258.7
11 53 07	476.1	531.8	258.7
11 53 08	476	531.7	258.6
11 53 09	475.9	531.7	258.6
11 53 10	475.8	531.6	258.6
11 53 11	475.8	531.5	258.6
11 53 12	475.7	531.4	258.6
11 53 13	475.6	531.3	258.6
11 53 14	475.6	531.2	258.5
11 53 15	475.5	531.1	258.5
11 53 16	475.4	531	258.5
11 53 17	475.4	531	258.5
11 53 18	475.3	530.9	258.5
11 53 19	475.2	530.8	258.4
11 53 20	475.1	530.7	258.4
11 53 21	475	530.6	258.4
11 53 22	474.9	530.5	258.3
11 53 23	474.8	530.5	258.3
11 53 24	474.7	530.4	258.3
11 53 25	474.7	530.3	258.2
11 53 26	474.6	530.2	258.2
11 53 27	474.5	530.1	258.1
11 53 28	474.4	530	258.1
11 53 29	474.3	529.9	258.1
11 53 30	474.3	529.8	258
11 53 31	474.2	529.8	258
11 53 32	474.1	529.7	257.9
11 53 33	474.1	529.6	257.9
11 53 34	474	529.5	257.8
11 53 35	473.9	529.4	257.8
11 53 36	473.8	529.3	257.7
11 53 37	473.7	529.2	257.7
11 53 38	473.6	529.1	257.7
11 53 39	473.5	529.1	257.7
11 53 40	473.5	529	257.6
11 53 41	473.5	528.9	257.6
11 53 42	473.4	528.8	257.5
11 53 43	473.3	528.7	257.5
11 53 44	473.2	528.6	257.4
11 53 45	473.1	528.5	257.4
11 53 46	473	528.4	257.4
11 53 47	473	528.4	257.4
11 53 48	472.9	528.3	257.3
11 53 49	472.8	528.2	257.3
11 53 50	472.7	528.1	257.3
11 53 51	472.6	528	257.2
11 53 52	472.6	527.9	257.2
11 53 53	472.5	527.9	257.2
11 53 54	472.4	527.8	257.2
11 53 55	472.4	527.7	257.2
11 53 56	472.3	527.6	257.2
11 53 57	472.2	527.5	257.1
11 53 58	472.1	527.4	257.1
11 53 59	472	527.3	257.1
11 54 00	471.9	527.2	257.1
11 54 01	471.9	527.2	257.1
11 54 02	471.8	527.1	257.1
11 54 03	471.8	527	257
11 54 04	471.7	526.9	257
11 54 05	471.6	526.8	257
11 54 06	471.5	526.7	257
11 54 07	471.4	526.6	257
11 54 08	471.3	526.6	257
11 54 09	471.2	526.6	256.9
11 54 10	471.1	526.4	256.9
11 54 11	471.1	526.3	256.9
11 54 12	471	526.2	256.8
11 54 13	471	526.1	256.8
11 54 14	470.9	526	256.8
11 54 15	470.8	525.9	256.8
11 54 16	470.7	525.8	256.7
11 54 17	470.7	525.8	256.7
11 54 18	470.6	525.7	256.7
11 54 19	470.5	525.6	256.6
11 54 20	470.4	525.5	256.6
11 54 21	470.3	525.4	256.5
11 54 22	470.2	525.3	256.5
11 54 23	470.1	525.3	256.5
11 54 24	470	525.2	256.4
11 54 25	470	525.1	256.4
11 54 26	469.9	525	256.3
11 54 27	469.8	524.9	256.3
11 54 28	469.8	524.8	256.2
11 54 29	469.7	524.7	256.2
11 54 30	469.6	524.6	256.2
11 54 31	469.5	524.6	256.2
11 54 32	469.4	524.5	256.1
11 54 33	469.4	524.4	256.1
11 54 34	469.3	524.3	256.1
11 54 35	469.2	524.2	256.1
11 54 36	469.2	524.1	256.1
11 54 37	469.1	524	256.1
11 54 38	469	523.9	256.1
11 54 39	468.9	523.9	256
11 54 40	468.8	523.8	256
11 54 41	468.8	523.7	256
11 54 42	468.7	523.6	256
11 54 43	468.6	523.5	256
11 54 44	468.5	523.4	256
11 54 45	468.4	523.3	256
11 54 46	468.3	523.2	255.9
11 54 47	468.3	523.2	255.9
11 54 48	468.2	523.1	255.9
11 54 49	468.1	523	255.9
11 54 50	468.1	522.9	255.9
11 54 51	468	522.8	255.9
11 54 52	467.9	522.7	255.8
11 54 53	467.8	522.7	255.8
11 54 54	467.7	522.6	255.8
11 54 55	467.7	522.5	255.8
11 54 56	467.6	522.4	255.8
11 54 57	467.5	522.3	255.8
11 54 58	467.4	522.2	255.7
11 54 59	467.4	522.1	255.7
11 55 00	467.3	522.1	255.7
11 55 01	467.2	522.1	255.7
11 55 02	467.1	521.9	255.7
11 55 03	467.1	521.8	255.6
11 55 04	467	521.7	255.6
11 55 05	466.9	521.6	255.6
11 55 06	466.8	521.5	255.5
11 55 07	466.7	521.4	255.5
11 55 08	466.6	521.3	255.5
11 55 09	466.5	521.3	255.5
11 55 10	466.4	521.2	255.4
11 55 11	466.4	521.1	255.4
11 55 12	466.4	521	255.4
11 55 13	466.3	521	255.4
11 55 14	466.2	520.9	255.3
11 55 15	466.1	520.8	255.3
11 55 16	466	520.7	255.3
11 55 17	466	520.7	255.3
11 55 18	465.9	520.6	255.2
11 55 19	465.8	520.5	255.2
11 55 20	465.8	520.4	255.1
11 55 21	465.7	520.3	255.1
11 55 22	465.6	520.2	255.1
11 55 23	465.5	520.2	255.1
11 55 24	465.4	520.1	255
11 55 25	465.4	520	255
11 55 26	465.3	519.9	254.9
11 55 27	465.2	519.8	254.9
11 55 28	465.1	519.7	254.8
11 55 29	465	519.6	254.8
11 55 30	465	519.5	254.8
11 55 31	464.9	519.5	254.7
11 55 32	464.8	519.4	254.7
11 55 33	464.8	519.3	254.6
11 55 34	464.7	519.2	254.6
11 55 35	464.6	519.1	254.5
11 55 36	464.5	519	254.5
11 55 37	464.4	518.9	254.5
11 55 38	464.3	518.8	254.4
11 55 39	464.2	518.8	254.4
11 55 40	464.1	518.7	254.4
11 55 41	464.1	518.6	254.3
11 55 42	464.1	518.5	254.3
11 55 43	464	518.4	254.2
11 55 44	463.9	518.3	254.2
11 55 45	463.8	518.2	254.2
11 55 46	463.7	518.1	254.2
11 55 47	463.7	518.1	254.1
11 55 48	463.6	518	254.1
11 55 49	463.6	517.9	254.1
11 55 50	463.5	517.8	254
11 55 51	463.4	517.7	254
11 55 52	463.3	517.6	254
11 55 53	463.2	517.6	254
11 55 54	463.1	517.5	254
11 55 55	463.1	517.4	253.9
11 55 56	463	517.3	253.9
11 55 57	462.9	517.2	253.8
11 55 58	462.8	517.1	253.8
11 55 59	462.8	517	253.8
11 56 00	462.7	516.9	253.8
11 56 01	462.6	516.9	253.7
11 56 02	462.5	516.8	253.7
11 56 03	462.5	516.7	253.7
11 56 04	462.4	516.6	253.6
11 56 05	462.4	516.5	253.6
11 56 06	462.3	516.5	253.6
11 56 07	462.2	516.4	253.6
11 56 08	462.1	516.3	253.6
11 56 09	462.1	516.3	253.6
11 56 10	462	516.2	253.6
11 56 11	462	516.1	253.6
11 56 12	461.9	516	253.6
11 56 13	461.8	515.9	253.5
11 56 14	461.7	515.8	253.5
11 56 15	461.6	515.7	253.5
11 56 16	461.6	515.6	253.5
11 56 17	461.6	515.6	253.4
11 56 18	461.5	515.5	253.4
11 56 19	461.4	515.4	253.4
11 56 20	461.3	515.3	253.3
11 56 21	461.2	515.3	253.3
11 56 22	461.1	515.2	253.3
11 56 23	461	515.2	253.3
11 56 24	461	515.1	253.2
11 56 25	461	515	253.2
11 56 26	460.9	514.9	253.2
11 56 27	460.8	514.8	253.2
11 56 28	460.7	514.7	253.1
11 56 29	460.6	514.6	253.1
11 56 30	460.5	514.5	253.1
11 56 31	460.4	514.5	253.1
11 56 32	460.3	514.4	253.1
11 56 33	460.3	514.3	253
11 56 34	460.3	514.2	253
11 56 35	460.2	514.1	253
11 56 36	460.1	514	253
11 56 37	460	513.9	253
11 56 38	459.9	513.8	252.9
11 56 39	459.8	513.8	252.9
11 56 40	459.8	513.7	252.9
11 56 41	459.8	513.6	252.8
11 56 42	459.7	513.5	252.8
11 56 43	459.6	513.4	252.8
11 56 44	459.5	513.3	252.7
11 56 45	459.4	513.2	252.7
11 56 46	459.3	513.1	252.7
11 56 47	459.3	513.1	252.6
11 56 48	459.2	513	252.6
11 56 49	459.2	512.9	252.6
11 56 50	459.1	512.8	252.5
11 56 51	459	512.7	252.5
11 56 52	458.9	512.6	252.5
11 56 53	458.8	512.6	252.5
11 56 54	458.7	512.5	252.4
11 56 55	458.7	512.4	252.4
11 56 56	458.6	512.4	252.4
11 56 57	458.5	512.3	252.3
11 56 58	458.4	512.2	252.3
11 56 59	458.4	512.1	252.3
11 57 00	458.3	512	252.3
11 57 01	458.2	512	252.2
11 57 02	458.1	511.9	252.2
11 57 03	458.1	511.8	252.1
11 57 04	458	511.7	252.1
11 57 05	457.9	511.6	252.1
11 57 06	457.9	511.5	252.1
11 57 07	457.8	511.4	252.1
11 57 08	457.7	511.3	252
11 57 09	457.6	511.3	252
11 57 10	457.5	511.2	252
11 57 11	457.5	511.1	251.9
11 57 12	457.4	511	251.9
11 57 13	457.4	510.9	251.9
11 57 14	457.3	510.8	251.9
11 57 15	457.2	510.8	251.9
11 57 16	457.1	510.7	251.8
11 57 17	457.1	510.7	251.8
11 57 18	457	510.6	251.8
11 57 19	456.9	510.5	251.8
11 57 20	456.8	510.4	251.8
11 57 21	456.7	510.3	251.7
11 57 22	456.7	510.2	251.7
11 57 23	456.6	510.2	251.7
11 57 24	456.5	510.1	251.7
11 57 25	456.5	510	251.6
11 57 26	456.4	509.9	251.6
11 57 27	456.3	509.8	251.6
11 57 28	456.2	509.7	251.5
11 57 29	456.2	509.6	251.5
11 57 30	456.1	509.5	251.5
11 57 31	456	509.5	251.5
11 57 32	455.9	509.4	251.4
11 57 33	455.9	509.3	251.4
11 57 34	455.8	509.2	251.4
11 57 35	455.7	509.1	251.4
11 57 36	455.6	509	251.4
11 57 37	455.6	508.9	251.4
11 57 38	455.5	508.9	251.3
11 57 39	455.4	508.9	251.3
11 57 40	455.3	508.8	251.3
11 57 41	455.3	508.7	251.2
11 57 42	455.2	508.6	251.2
11 57 43	455.2	508.5	251.2
11 57 44	455.1	508.4	251.1
11 57 45	455	508.3	251.1
11 57 46	454.9	508.2	251.1
11 57 47	454.9	508.2	251.1
11 57 48	454.8	508.1	251
11 57 49	454.7	508	251
11 57 50	454.6	507.9	251
11 57 51	454.6	507.8	251
11 57 52	454.5	507.7	250.9
11 57 53	454.4	507.7	250.9
11 57 54	454.3	507.6	250.9
11 57 55	454.3	507.5	250.9
11 57 56	454.2	507.5	250.9
11 57 57	454.1	507.4	250.8
11 57 58	454.1	507.3	250.8
11 57 59	454	507.2	250.8
11 58 00	453.9	507.1	250.8
11 58 01	453.8	507.1	250.8
11 58 02	453.7	507	250.7
11 58 03	453.7	506.9	250.7
11 58 04	453.7	506.8	250.7
11 58 05	453.6	506.7	250.6
11 58 06	453.5	506.6	250.6
11 58 07	453.4	506.5	250.6
11 58 08	453.3	506.4	250.6
11 58 09	453.2	506.4	250.6
11 58 10	453.1	506.3	250.5
11 58 11	453.1	506.2	250.5
11 58 12	453.1	506.1	250.5
11 58 13	453	506	250.5
11 58 14	452.9	505.9	250.4
11 58 15	452.8	505.8	250.4
11 58 16	452.7	505.7	250.4
11 58 17	452.7	505.7	250.3
11 58 18	452.6	505.7	250.3
11 58 19	452.6	505.6	250.3
11 58 20	452.5	505.5	250.2
11 58 21	452.4	505.4	250.2
11 58 22	452.3	505.3	250.2
11 58 23	452.2	505.3	250.2
11 58 24	452.2	505.2	250.1
11 58 25	452.2	505.1	250.1
11 58 26	452.1	505	250
11 58 27	452	504.9	250
11 58 28	451.9	504.8	249.9
11 58 29	451.8	504.7	249.9
11 58 30	451.7	504.6	249.9
11 58 31	451.6	504.6	249.8
11 58 32	451.6	504.5	249.8
11 58 33	451.6	504.4	249.8
11 58 34	451.5	504.3	249.7
11 58 35	451.4	504.2	249.7
11 58 36	451.3	504.1	249.6
11 58 37	451.2	504	249.6
11 58 38	451.2	504	249.6
11 58 39	451.1	504	249.6
11 58 40	451	503.9	249.6
11 58 41	451	503.8	249.6
11 58 42	450.9	503.7	249.6
11 58 43	450.8	503.6	249.6
11 58 44	450.7	503.5	249.5
11 58 45	450.7	503.4	249.5
11 58 46	450.6	503.3	249.5
11 58 47	450.6	503.3	249.5
11 58 48	450.5	503.2	249.5
11 58 49	450.4	503.1	249.4
11 58 50	450.3	503.1	249.4
11 58 51	450.2	503	249.4
11 58 52	450.2	502.9	249.3
11 58 53	450.1	502.9	249.3
11 58 54	450	502.8	249.3
11 58 55	450	502.7	249.3
11 58 56	449.9	502.6	249.2
11 58 57	449.8	502.5	249.2
11 58 58	449.7	502.4	249.1
11 58 59	449.7	502.3	249.1
11 59 00	449.6	502.2	249.1
11 59 01	449.5	502.2	249.1
11 59 02	449.4	502.1	249
11 59 03	449.4	502	249
11 59 04	449.3	501.9	249
11 59 05	449.2	501.8	248.9
11 59 06	449.2	501.7	248.9
11 59 07	449.1	501.6	248.9
11 59 08	449	501.5	248.8
11 59 09	448.9	501.5	248.8
11 59 10	448.8	501.5	248.8
11 59 11	448.8	501.4	248.8
11 59 12	448.8	501.3	248.7
11 59 13	448.7	501.2	248.7
11 59 14	448.6	501.1	248.7
11 59 15	448.5	501	248.7
11 59 16	448.4	500.9	248.6
11 59 17	448.4	500.9	248.6
11 59 18	448.4	500.8	248.6
11 59 19	448.3	500.7	248.5
11 59 20	448.2	500.6	248.5
11 59 21	448.1	500.5	248.5
11 59 22	448	500.4	248.4
11 59 23	447.9	500.4	248.4
11 59 24	447.9	500.4	248.4
11 59 25	447.9	500.3	248.4
11 59 26	447.8	500.2	248.3
11 59 27	447.7	500.1	248.3
11 59 28	447.6	500	248.3
11 59 29	447.6	499.9	248.3
11 59 30	447.5	499.8	248.2
11 59 31	447.4	499.8	248.2
11 59 32	447.3	499.7	248.1
11 59 33	447.3	499.6	248.1
11 59 34	447.2	499.5	248.1
11 59 35	447.2	499.4	248.1
11 59 36	447.1	499.3	248
11 59 37	447	499.2	248
11 59 38	446.9	499.1	248
11 59 39	446.8	499.1	248
11 59 40	446.7	499.1	248
11 59 41	446.7	499	247.9
11 59 42	446.7	498.9	247.9
11 59 43	446.6	498.8	247.9
11 59 44	446.5	498.7	247.8
11 59 45	446.4	498.6	247.8
11 59 46	446.3	498.5	247.8
11 59 47	446.3	498.5	247.8
11 59 48	446.2	498.4	247.7
11 59 49	446.2	498.3	247.7
11 59 50	446.1	498.2	247.7
11 59 51	446	498.1	247.6
11 59 52	445.9	498	247.6
11 59 53	445.8	498	247.6
11 59 54	445.7	497.9	247.6
11 59 55	445.7	497.8	247.6
11 59 56	445.7	497.8	247.5
11 59 57	445.6	497.7	247.5
11 59 58	445.5	497.6	247.5
11 59 59	445.4	497.5	247.5
12 00 00	445.3	497.4	247.4
12 00 01	445.2	497.4	247.4
12 00 02	445.2	497.3	247.4
12 00 03	445.2	497.2	247.3
12 00 04	445.1	497.1	247.3
12 00 05	445	497	247.2
12 00 06	444.9	496.9	247.2
12 00 07	444.9	496.8	247.2
12 00 08	444.8	496.7	247.2
12 00 09	444.7	496.7	247.2
12 00 10	444.6	496.6	247.1
12 00 11	444.6	496.5	247.1
12 00 12	444.5	496.4	247.1
12 00 13	444.4	496.3	247
12 00 14	444.4	496.3	247
12 00 15	444.3	496.2	247
12 00 16	444.2	496.1	246.9
12 00 17	444.2	496.1	246.9
12 00 18	444.1	496	246.9
12 00 19	444	495.9	246.8
12 00 20	443.9	495.8	246.8
12 00 21	443.9	495.7	246.7
12 00 22	443.8	495.6	246.7
12 00 23	443.7	495.6	246.7
12 00 24	443.6	495.5	246.6
12 00 25	443.6	495.4	246.6
12 00 26	443.5	495.4	246.5
12 00 27	443.5	495.3	246.4
12 00 28	443.4	495.2	246.4
12 00 29	443.3	495.1	246.4
12 00 30	443.2	495	246.3
12 00 31	443.2	495	246.3
12 00 32	443.1	494.9	246.2
12 00 33	443.1	494.8	246.1
12 00 34	443	494.7	246.1
12 00 35	442.9	494.6	246
12 00 36	442.8	494.5	246
12 00 37	442.7	494.4	246
12 00 38	442.7	494.3	246
12 00 39	442.6	494.3	245.9
12 00 40	442.5	494.2	245.9
12 00 41	442.5	494.1	245.9
12 00 42	442.4	494	245.8
12 00 43	442.3	493.9	245.8
12 00 44	442.3	493.9	245.8
12 00 45	442.2	493.8	245.8
12 00 46	442.1	493.7	245.7
12 00 47	442.1	493.7	245.7
12 00 48	442	493.6	245.7
12 00 49	441.9	493.5	245.6
12 00 50	441.9	493.4	245.6
12 00 51	441.8	493.3	245.5
12 00 52	441.7	493.2	245.5
12 00 53	441.6	493.2	245.5
12 00 54	441.5	493.1	245.5
12 00 55	441.5	493	245.4
12 00 56	441.5	492.9	245.4
12 00 57	441.4	492.9	245.3
12 00 58	441.3	492.8	245.3
12 00 59	441.2	492.7	245.3
12 01 00	441.1	492.6	245.3
12 01 01	441.1	492.6	245.2
12 01 02	441	492.5	245.2
12 01 03	441	492.4	245.2
12 01 04	440.9	492.3	245.1
12 01 05	440.8	492.2	245.1
12 01 06	440.7	492.1	245.1
12 01 07	440.7	492	245.1
12 01 08	440.6	491.9	245
12 01 09	440.5	491.9	245
12 01 10	440.4	491.9	245
12 01 11	440.4	491.8	244.9
12 01 12	440.3	491.7	244.9
12 01 13	440.3	491.6	244.9
12 01 14	440.2	491.5	244.8
12 01 15	440.1	491.4	244.8
12 01 16	440	491.3	244.8
12 01 17	440	491.3	244.8
12 01 18	439.9	491.2	244.7
12 01 19	439.9	491.1	244.7
12 01 20	439.8	491.1	244.6
12 01 21	439.7	491	244.6
12 01 22	439.6	490.9	244.6
12 01 23	439.5	490.9	244.6
12 01 24	439.5	490.8	244.6
12 01 25	439.5	490.7	244.5
12 01 26	439.4	490.6	244.5
12 01 27	439.3	490.5	244.4
12 01 28	439.2	490.4	244.4
12 01 29	439.1	490.3	244.4
12 01 30	439.1	490.2	244.4
12 01 31	439	490.2	244.3
12 01 32	438.9	490.1	244.3
12 01 33	438.9	490	244.3
12 01 34	438.8	490	244.2
12 01 35	438.7	489.9	244.2
12 01 36	438.7	489.8	244.2
12 01 37	438.6	489.7	244.2
12 01 38	438.5	489.6	244.2
12 01 39	438.4	489.6	244.2
12 01 40	438.4	489.5	244.2
12 01 41	438.4	489.4	244.2
12 01 42	438.3	489.3	244.2
12 01 43	438.2	489.2	244.2
12 01 44	438.1	489.1	244.1
12 01 45	438	489	244.1
12 01 46	438	489	244.1
12 01 47	438	489	244.1
12 01 48	437.9	488.9	244.1
12 01 49	437.8	488.8	244
12 01 50	437.7	488.7	244
12 01 51	437.6	488.6	244
12 01 52	437.6	488.5	243.9
12 01 53	437.5	488.5	243.9
12 01 54	437.4	488.4	243.9
12 01 55	437.4	488.3	243.9
12 01 56	437.3	488.2	243.8
12 01 57	437.2	488.2	243.8
12 01 58	437.2	488.1	243.7
12 01 59	437.1	488	243.7
12 02 00	437	487.9	243.7
12 02 01	436.9	487.9	243.7
12 02 02	436.9	487.8	243.6
12 02 03	436.9	487.7	243.6
12 02 04	436.8	487.6	243.5
12 02 05	436.7	487.5	243.5
12 02 06	436.6	487.4	243.4
12 02 07	436.6	487.4	243.4
12 02 08	436.5	487.3	243.4
12 02 09	436.4	487.3	243.3
12 02 10	436.3	487.2	243.3
12 02 11	436.3	487.1	243.2
12 02 12	436.3	487	243.1
12 02 13	436.2	486.9	243.1
12 02 14	436.1	486.8	243
12 02 15	436	486.8	243
12 02 16	435.9	486.7	243
12 02 17	435.9	486.7	242.9
12 02 18	435.9	486.6	242.8
12 02 19	435.8	486.5	242.8
12 02 20	435.7	486.4	242.7
12 02 21	435.6	486.3	242.6
12 02 22	435.6	486.3	242.6
12 02 23	435.5	486.3	242.6
12 02 24	435.4	486.2	242.5
12 02 25	435.4	486.1	242.5
12 02 26	435.3	486	242.4
12 02 27	435.3	485.9	242.4
12 02 28	435.2	485.8	242.4
12 02 29	435.1	485.7	242.4
12 02 30	435	485.6	242.3
12 02 31	435	485.6	242.3
12 02 32	434.9	485.5	242.3
12 02 33	434.9	485.4	242.2
12 02 34	434.8	485.4	242.2
12 02 35	434.7	485.3	242.2
12 02 36	434.6	485.2	242.2
12 02 37	434.6	485.1	242.2
12 02 38	434.5	485	242.2
12 02 39	434.4	485	242.2
12 02 40	434.3	484.9	242.1
12 02 41	434.3	484.8	242.1
12 02 42	434.3	484.8	242.1
12 02 43	434.2	484.7	242.1
12 02 44	434.1	484.6	242.1
12 02 45	434	484.5	242.1
12 02 46	433.9	484.4	242.1
12 02 47	433.9	484.4	242.1
12 02 48	433.9	484.3	242.1
12 02 49	433.8	484.2	242
12 02 50	433.7	484.1	242
12 02 51	433.6	484.1	242
12 02 52	433.6	484	242
12 02 53	433.5	484	242
12 02 54	433.5	483.9	242
12 02 55	433.5	483.8	242
12 02 56	433.4	483.7	242
12 02 57	433.3	483.7	242.1
12 02 58	433.2	483.6	242
12 02 59	433.1	483.5	242
12 03 00	433	483.4	242
12 03 01	432.9	483.4	242
12 03 02	432.9	483.3	242
12 03 03	432.9	483.2	242
12 03 04	432.8	483.1	241.9
12 03 05	432.7	482.9	241.9
12 03 06	432.6	482.9	241.9
12 03 07	432.6	482.8	241.9
12 03 08	432.5	482.7	241.9
12 03 09	432.4	482.7	241.9
12 03 10	432.4	482.7	241.9
12 03 11	432.4	482.6	241.9
12 03 12	432.3	482.5	241.9
12 03 13	432.2	482.4	241.9
12 03 14	432.1	482.3	241.9
12 03 15	432.1	482.2	241.9
12 03 16	432	482.1	241.9
12 03 17	432	482.1	241.9
12 03 18	431.9	482.1	241.8
12 03 19	431.8	482	241.8
12 03 20	431.8	481.9	241.8
12 03 21	431.7	481.8	241.8
12 03 22	431.6	481.7	241.8
12 03 23	431.5	481.7	241.8
12 03 24	431.4	481.6	241.8
12 03 25	431.4	481.5	241.8
12 03 26	431.4	481.4	241.8
12 03 27	431.3	481.3	241.8
12 03 28	431.2	481.3	241.8
12 03 29	431.1	481.2	241.8
12 03 30	431	481.1	241.8
12 03 31	431	481.1	241.8
12 03 32	430.9	481	241.8
12 03 33	430.9	480.9	241.8
12 03 34	430.8	480.8	241.8
12 03 35	430.7	480.7	241.8
12 03 36	430.6	480.6	241.8
12 03 37	430.6	480.5	241.8
12 03 38	430.5	480.5	241.8
12 03 39	430.4	480.5	241.7
12 03 40	430.3	480.4	241.7
12 03 41	430.3	480.3	241.7
12 03 42	430.2	480.2	241.7
12 03 43	430.2	480.1	241.7
12 03 44	430.1	480	241.7
12 03 45	430	479.9	241.7
12 03 46	429.9	479.8	241.7
12 03 47	429.9	479.8	241.7
12 03 48	429.9	479.7	241.7
12 03 49	429.8	479.7	241.7
12 03 50	429.7	479.6	241.7
12 03 51	429.6	479.5	241.7
12 03 52	429.5	479.4	241.7
12 03 53	429.4	479.4	241.7
12 03 54	429.4	479.3	241.7
12 03 55	429.4	479.2	241.7
12 03 56	429.3	479.1	241.7
12 03 57	429.2	479	241.7
12 03 58	429.1	478.9	241.6
12 03 59	429.1	478.9	241.6
12 04 00	429	478.8	241.6
12 04 01	428.9	478.8	241.6
12 04 02	428.8	478.7	241.6
12 04 03	428.8	478.6	241.6
12 04 04	428.8	478.5	241.6
12 04 05	428.7	478.4	241.5
12 04 06	428.6	478.3	241.5
12 04 07	428.5	478.2	241.5
12 04 08	428.4	478.1	241.5
12 04 09	428.4	478.1	241.5
12 04 10	428.3	478.1	241.5
12 04 11	428.3	478	241.5
12 04 12	428.2	477.9	241.5
12 04 13	428.1	477.8	241.5
12 04 14	428	477.7	241.4
12 04 15	428	477.6	241.4
12 04 16	427.9	477.5	241.4
12 04 17	427.9	477.5	241.4
12 04 18	427.8	477.4	241.4
12 04 19	427.7	477.3	241.4
12 04 20	427.6	477.2	241.3
12 04 21	427.6	477.2	241.3
12 04 22	427.5	477.1	241.3
12 04 23	427.4	477.1	241.3
12 04 24	427.3	477	241.3
12 04 25	427.3	476.9	241.3
12 04 26	427.2	476.8	241.3
12 04 27	427.2	476.7	241.3
12 04 28	427.1	476.6	241.3
12 04 29	427	476.5	241.3
12 04 30	426.9	476.4	241.2
12 04 31	426.9	476.4	241.2
12 04 32	426.8	476.4	241.2
12 04 33	426.8	476.3	241.2
12 04 34	426.7	476.2	241.2
12 04 35	426.6	476.1	241.1
12 04 36	426.5	476	241.1
12 04 37	426.5	475.9	241.1
12 04 38	426.4	475.8	241.1
12 04 39	426.3	475.8	241.1
12 04 40	426.2	475.7	241.1
12 04 41	426.2	475.6	241.1
12 04 42	426.1	475.6	241
12 04 43	426.1	475.5	241
12 04 44	426	475.4	241
12 04 45	425.9	475.3	241
12 04 46	425.8	475.2	241
12 04 47	425.8	475.2	241
12 04 48	425.8	475.1	241
12 04 49	425.7	475	241
12 04 50	425.6	474.9	240.9
12 04 51	425.5	474.8	240.9
12 04 52	425.4	474.8	240.9
12 04 53	425.4	474.8	240.9
12 04 54	425.3	474.7	240.9
12 04 55	425.3	474.6	240.8
12 04 56	425.2	474.5	240.8
12 04 57	425.1	474.4	240.8
12 04 58	425	474.3	240.8
12 04 59	425	474.2	240.8
12 05 00	424.9	474.1	240.7
12 05 01	424.8	474.1	240.7
12 05 02	424.7	474	240.7
12 05 03	424.7	474	240.7
12 05 04	424.7	473.9	240.6
12 05 05	424.6	473.8	240.6
12 05 06	424.5	473.7	240.6
12 05 07	424.4	473.6	240.6
12 05 08	424.4	473.5	240.6
12 05 09	424.3	473.5	240.5
12 05 10	424.2	473.4	240.5
12 05 11	424.2	473.3	240.5
12 05 12	424.1	473.2	240.4
12 05 13	424	473.2	240.4
12 05 14	424	473.1	240.4
12 05 15	423.9	473	240.4
12 05 16	423.8	472.9	240.3
12 05 17	423.8	472.9	240.3
12 05 18	423.7	472.8	240.3
12 05 19	423.6	472.7	240.3
12 05 20	423.6	472.6	240.2
12 05 21	423.5	472.6	240.2
12 05 22	423.4	472.5	240.2
12 05 23	423.3	472.5	240.2
12 05 24	423.2	472.4	240.2
12 05 25	423.2	472.3	240.1
12 05 26	423.2	472.2	240.1
12 05 27	423.1	472.1	240
12 05 28	423	472	240
12 05 29	423	472	240
12 05 30	422.9	471.9	239.9
12 05 31	422.8	471.9	239.9
12 05 32	422.7	471.8	239.8
12 05 33	422.7	471.7	239.7
12 05 34	422.7	471.6	239.6
12 05 35	422.6	471.5	239.5
12 05 36	422.5	471.4	239.4
12 05 37	422.4	471.3	239.4
12 05 38	422.3	471.2	239.3
12 05 39	422.3	471.2	239.1
12 05 40	422.2	471.2	239
12 05 41	422.2	471.1	238.9
12 05 42	422.1	471	238.8
12 05 43	422	470.9	238.7
12 05 44	422	470.8	238.6
12 05 45	421.9	470.7	238.6
12 05 46	421.8	470.7	238.5
12 05 47	421.8	470.7	238.4
12 05 48	421.7	470.6	238.3
12 05 49	421.7	470.5	238.2
12 05 50	421.6	470.4	238.1
12 05 51	421.5	470.3	238
12 05 52	421.4	470.3	238
12 05 53	421.4	470.3	238
12 05 54	421.3	470.2	237.9
12 05 55	421.3	470.1	237.8
12 05 56	421.3	470	237.7
12 05 57	421.2	469.9	237.6
12 05 58	421.1	469.8	237.5
12 05 59	421	469.8	237.5
12 06 00	421	469.7	237.5
12 06 01	420.9	469.7	237.4
12 06 02	420.8	469.6	237.3
12 06 03	420.8	469.5	237.2
12 06 04	420.8	469.4	237.2
12 06 05	420.7	469.4	237.1
12 06 06	420.6	469.3	237
12 06 07	420.5	469.2	237
12 06 08	420.5	469.1	236.9
12 06 09	420.4	469.1	236.9
12 06 10	420.3	469	236.8
12 06 11	420.3	469	236.7
