#Time	T1	T2	T3
11 05 09	755.8	754.6	324.7
11 05 10	756.8	754.6	328.2
11 05 11	757.7	756.3	331.5
11 05 12	757.7	757.8	334.6
11 05 13	758.9	759.2	337.5
11 05 14	759.6	760.4	340.1
11 05 15	760.5	761.7	342.5
11 05 16	761.3	762.7	342.5
11 05 17	762	763.8	345.1
11 05 18	762	763.8	347.2
11 05 19	762.8	765	349.1
11 05 20	763.5	765.9	350.9
11 05 21	764.1	766.7	352.6
11 05 22	764.7	767.6	354.2
11 05 23	765.3	768.4	355.7
11 05 24	765.9	768.4	355.7
11 05 25	765.9	769.2	357.3
11 05 26	765.9	769.9	358.7
11 05 27	766.9	770.6	359.8
11 05 28	766.9	771.2	360.9
11 05 29	768	771.9	362.1
11 05 30	768	771.9	362.1
11 05 31	768.9	772.9	363.1
11 05 32	768.9	772.9	364.1
11 05 33	769.7	773.5	364.9
11 05 34	769.7	773.5	365.6
11 05 35	769.7	774.4	366.4
11 05 36	770.5	774.4	367.2
11 05 37	770.5	775.2	367.8
11 05 38	770.5	775.2	367.8
11 05 39	770.5	775.9	367.8
11 05 40	770.5	775.9	368.8
11 05 41	770.6	775.9	368.8
11 05 42	770.6	776.7	369.5
11 05 43	770.7	776.7	369.5
11 05 44	770.7	777.3	370.2
11 05 45	770.7	777.3	372.3
11 05 46	770.7	777.9	372.3
11 05 47	770.7	777.9	375.5
11 05 48	770.7	777.9	377.1
11 05 49	770.6	777.9	377.7
11 05 50	770.6	778.7	377.7
11 05 51	770.5	778.7	378.3
11 05 52	770.5	778.7	378.3
11 05 53	770.6	779.3	378.3
11 05 54	770.6	779.3	378.3
11 05 55	770.7	779.3	378.3
11 05 56	770.7	779.3	379
11 05 57	770.7	779.9	379
11 05 58	770.8	779.9	379
11 05 59	770.9	779.9	379
11 06 00	771	780.5	379
11 06 01	771	780.5	379
11 06 02	771.1	780.5	379
11 06 03	771.2	780.5	379.1
11 06 04	771.2	780.5	379.1
11 06 05	771.3	780.5	379.1
11 06 06	771.3	780.6	379.2
11 06 07	771.4	780.7	379.2
11 06 08	771.5	780.9	379.2
11 06 09	771.6	781	379.2
11 06 10	771.6	781	379.3
11 06 11	771.7	781.2	379.3
11 06 12	771.7	781.4	379.3
11 06 13	771.8	781.5	379.3
11 06 14	771.8	781.6	379.2
11 06 15	771.9	781.7	379.2
11 06 16	772	781.8	379.2
11 06 17	772	782	379.2
11 06 18	772	782	379.2
11 06 19	772.1	782.1	379.2
11 06 20	772.2	782.2	379.2
11 06 21	772.3	782.3	379.2
11 06 22	772.3	782.4	379.2
11 06 23	772.4	782.5	379.2
11 06 24	772.4	782.5	379.2
11 06 25	772.5	782.6	379.1
11 06 26	772.5	782.7	379.1
11 06 27	772.5	782.7	379.1
11 06 28	772.5	782.8	379
11 06 29	772.6	782.9	379
11 06 30	772.6	783	379
11 06 31	772.6	783	379
11 06 32	772.7	783	378.9
11 06 33	772.7	783.1	378.9
11 06 34	772.7	783.1	378.8
11 06 35	772.7	783.2	378.8
11 06 36	772.8	783.2	378.7
11 06 37	772.8	783.3	378.7
11 06 38	772.8	783.4	378.7
11 06 39	772.8	783.4	378.6
11 06 40	772.9	783.4	378.6
11 06 41	772.9	783.5	378.5
11 06 42	772.9	783.5	378.5
11 06 43	772.9	783.6	378.4
11 06 44	772.9	783.6	378.4
11 06 45	772.9	783.7	378.3
