13  39  12	 578.4	 670.2	 296.8	 027.8
13  39  22	 577.5	 669.7	 296.0	 027.8
13  39  32	 576.5	 669.4	 295.3	 027.8
13  39  42	 575.7	 669.0	 294.6	 027.9
13  39  52	 574.6	 668.6	 294.0	 027.9
13  40  02	 573.7	 668.2	 293.5	 027.9
13  40  12	 572.8	 667.8	 293.0	 027.9
13  40  22	 571.7	 667.3	 292.4	 027.8
13  40  32	 570.8	 666.9	 291.8	 027.9
13  40  42	 569.8	 666.4	 291.1	 027.9
13  40  52	 568.9	 666.0	 290.4	 027.9
13  41  02	 567.9	 665.5	 289.7	 027.9
13  41  12	 566.9	 665.1	 289.1	 027.9
13  41  22	 565.9	 664.6	 288.6	 027.9
13  41  32	 565.0	 664.2	 287.9	 027.9
13  41  42	 564.1	 663.8	 287.5	 028.0
13  41  52	 563.2	 663.3	 287.1	 028.0
13  42  02	 562.1	 662.9	 286.7	 028.0
13  42  12	 561.2	 662.3	 286.2	 028.0
13  42  22	 560.2	 661.8	 285.7	 028.0
13  42  32	 559.3	 661.3	 285.0	 028.0
13  42  42	 558.3	 660.9	 284.4	 028.0
13  42  52	 557.4	 660.3	 283.7	 028.0
13  43  02	 556.4	 659.8	 283.1	 028.0
13  43  12	 555.5	 659.3	 282.7	 028.0
13  43  22	 554.6	 658.8	 282.2	 028.0
13  43  32	 553.7	 658.3	 281.8	 028.0
13  43  42	 552.8	 657.8	 281.3	 028.0
13  43  52	 551.8	 657.2	 280.8	 027.9
13  44  02	 550.9	 656.7	 280.2	 028.0
13  44  12	 550.0	 656.2	 279.6	 028.1
13  44  22	 549.1	 655.6	 279.0	 028.1
13  44  32	 548.1	 655.1	 278.5	 028.0
13  44  42	 547.2	 654.4	 277.8	 027.9
13  44  52	 546.2	 653.9	 277.2	 027.9
13  45  02	 545.4	 653.3	 276.7	 028.0
13  45  12	 544.6	 652.9	 276.3	 028.1
13  45  22	 543.6	 652.2	 275.7	 028.1
13  45  32	 542.7	 651.7	 275.1	 028.0
13  45  42	 541.8	 651.0	 274.6	 028.0
13  45  52	 540.9	 650.5	 274.2	 027.9
13  46  02	 540.0	 649.9	 273.7	 027.9
13  46  12	 539.1	 649.3	 273.3	 027.9
13  46  22	 538.1	 648.7	 272.9	 028.0
13  46  32	 537.3	 648.1	 272.3	 028.0
13  46  42	 536.3	 647.4	 271.7	 027.9
13  46  52	 535.5	 646.8	 271.1	 028.0
13  47  02	 534.5	 646.2	 270.6	 027.9
13  47  12	 533.7	 645.6	 270.2	 028.0
13  47  22	 532.8	 645.1	 269.8	 027.9
13  47  32	 532.0	 644.4	 269.3	 027.9
13  47  42	 531.0	 643.8	 268.8	 028.0
13  47  52	 530.2	 643.2	 268.1	 027.9
13  48  02	 529.2	 642.6	 267.7	 028.0
13  48  12	 528.4	 641.9	 267.2	 028.0
13  48  22	 527.6	 641.3	 266.7	 028.0
13  48  32	 526.6	 640.6	 266.2	 027.9
13  48  42	 525.8	 640.0	 265.7	 027.9
13  48  52	 524.9	 639.3	 265.3	 027.9
13  49  02	 524.1	 638.7	 264.9	 028.0
13  49  12	 523.1	 638.0	 264.4	 027.9
13  49  22	 522.3	 637.3	 263.8	 028.0
13  49  32	 521.4	 636.7	 263.4	 027.8
13  49  42	 520.6	 636.0	 263.0	 027.8
13  49  52	 519.7	 635.4	 262.6	 028.0
13  50  02	 518.9	 634.7	 262.1	 028.0
13  50  12	 518.1	 634.1	 261.6	 027.9
13  50  22	 517.2	 633.4	 261.0	 028.0
13  50  32	 516.4	 632.7	 260.4	 028.0
13  50  42	 515.5	 632.0	 259.9	 028.1
13  50  52	 514.6	 631.3	 259.5	 028.1
13  51  02	 513.7	 630.6	 259.0	 028.1
13  51  12	 512.9	 629.9	 258.6	 028.1
