11  58  03	618.9	529.9	277.2
11  58  08	617.9	529	276.7
11  58  13	617.1	528	276.2
11  58  18	616.3	527.2	275.6
11  58  23	615.5	526.2	275.1
11  58  28	614.6	525.3	274.7
11  58  33	613.8	524.4	274.3
11  58  38	613	523.5	273.8
11  58  43	612.1	522.6	273.2
11  58  48	611.2	521.7	272.7
11  58  53	610.3	520.6	272.3
11  58  58	609.5	519.7	271.7
11  59  03	608.6	518.8	271.3
11  59  08	607.8	517.9	270.8
11  59  13	607	517	270.4
11  59  18	606.2	516.2	269.9
11  59  23	605.2	515.3	269.5
11  59  28	604.3	514.4	269
11  59  33	603.5	513.3	268.5
11  59  38	602.6	512.4	267.9
11  59  43	601.8	511.6	267.5
11  59  48	601	510.7	267.1
11  59  53	600.1	509.8	266.6
11  59  58	599.3	509	266.2
12  00  03	598.4	508.1	265.8
12  00  08	597.5	507.3	265.3
12  00  13	596.7	506.2	264.8
12  00  18	595.9	505.4	264.3
12  00  23	595	504.5	263.8
12  00  28	594.1	503.6	263.3
12  00  33	593.3	502.8	262.9
12  00  38	592.5	501.9	262.5
12  00  43	591.5	501.1	262
12  00  48	590.6	500.1	261.5
12  00  53	589.8	499.2	261.1
12  00  58	589	498.3	260.6
12  01  03	588.1	497.5	260.2
12  01  08	587.2	496.7	259.7
12  01  13	586.4	495.8	259.3
12  01  18	585.6	494.9	258.9
12  01  23	584.5	494.1	258.4
12  01  28	583.7	493.1	258
12  01  33	582.9	492.3	257.5
12  01  38	582	491.4	257.1
12  01  43	581.2	490.6	256.7
12  01  48	580.3	489.7	256.3
12  01  53	579.3	488.9	255.8
12  01  58	578.6	488.1	255.4
12  02  03	577.6	487.3	255
12  02  08	576.8	486.3	254.6
12  02  13	575.9	485.4	254.1
12  02  18	575.1	484.6	253.7
12  02  23	574.2	483.8	253.3
12  02  28	573.4	482.9	252.9
12  02  33	572.4	482.1	252.5
12  02  38	571.5	481.2	252.2
12  02  43	570.7	480.5	251.8
12  02  48	569.8	479.6	251.4
12  02  53	569	478.7	250.9
12  02  58	568.1	477.9	250.5
12  03  03	567.3	477.1	250.1
12  03  08	566.4	476.3	249.7
12  03  13	565.4	475.5	249.4
12  03  18	564.5	474.5	249
12  03  23	563.7	473.7	248.5
12  03  28	562.8	472.9	248.2
12  03  33	562	472.1	247.7
12  03  38	561.1	471.3	247.3
12  03  43	560.3	470.5	246.9
12  03  48	559.4	469.8	246.6
12  03  53	558.5	469	246.2
12  03  58	557.6	468.1	245.8
12  04  03	556.8	467.3	245.3
12  04  08	556	466.5	244.9
12  04  13	555.1	465.7	244.5
12  04  18	554.3	464.9	244.1
